Date,Close/Last,Volume,Open,High,Low
07/14/2023,$2.16,24375910,$1.56,$2.24,$1.56
07/13/2023,$1.57,18771630,$1.46,$1.80,$1.35
07/12/2023,$1.56,16060270,$1.23,$1.60,$1.19
07/11/2023,$1.16,10425170,$0.8998,$1.21,$0.8755
07/10/2023,$0.8492,9402007,$0.8471,$0.9985,$0.81
07/07/2023,$0.839,9154878,$0.69,$0.88,$0.69
07/06/2023,$0.705,5152586,$0.68,$0.72,$0.621
07/05/2023,$0.6815,6513756,$0.6313,$0.7059,$0.6267
07/03/2023,$0.5947,1720003,$0.5488,$0.6098,$0.5323
06/30/2023,$0.5309,3505454,$0.535,$0.55,$0.51
06/29/2023,$0.5133,10529940,$0.6457,$0.7022,$0.4536
06/28/2023,$0.6999,25158430,$0.48,$0.752,$0.465
06/27/2023,$0.46,13562830,$0.39,$0.52,$0.389
06/26/2023,$0.3813,2570302,$0.40,$0.4293,$0.375
06/23/2023,$0.39,1550364,$0.42,$0.4279,$0.3815
06/22/2023,$0.40,1414831,$0.4301,$0.4301,$0.40
06/21/2023,$0.4301,2650667,$0.479,$0.5252,$0.42
06/20/2023,$0.47,2048524,$0.5391,$0.5488,$0.46
